id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
744981219974591332,Charming Pet Friendly Home near Downtown Bozeman,68940904,The Arrival,,Bozeman,45.6762697,-111.0775055,Entire home/apt,241,29,34,2024-03-29,1.64,4,152,14,STR22-00109
746272150575051077,"Amazing 3 Bedroom Apt, Just Blocks from Downtown!",444342086,Rory,,Bozeman,45.6813,-111.03761,Entire home/apt,325,30,12,2024-05-05,0.55,2,222,4,
746287823014723902,Adorable 1-Bedroom Guest house with free parking,154200211,Alli,,Bozeman,45.66868,-111.1058,Entire home/apt,152,3,37,2024-09-01,1.68,1,324,21,STR23-00034
747853167329541412,Cozy Cooper Park Getaway - Downtown Bozeman,388858579,Neil,,Bozeman,45.67689,-111.04926,Entire home/apt,140,30,5,2024-04-19,0.24,4,236,4,
750942734997774914,Clean and comfy condo in Bozeman with backyard!,403281935,Julie,,Bozeman,45.69078433350981,-111.11072774232788,Entire home/apt,200,29,5,2024-07-31,0.47,1,238,5,
751509959977511403,Wanderlust Landing,89160947,Sandra,,Bozeman,45.6808,-111.10076,Entire home/apt,115,1,115,2024-09-03,5.96,1,141,84,STR22-00104
752850020109878238,3 Bedroom Bozeman Bungalow,257892190,Julia,,Bozeman,45.66109,-111.03294,Entire home/apt,219,2,63,2024-09-01,2.88,1,179,28,STR23-00210
753638881457290583,Peaceful Bozeman Retreat,2209026,Kristen,,Bozeman,45.68315,-111.0256,Entire home/apt,299,3,41,2024-08-31,2.00,3,338,17,STR22-00058
756562057400552311,Mountain Coffee,247540892,Shaun,,Bozeman,45.68097,-111.10376,Entire home/apt,129,2,57,2024-08-17,3.18,3,89,42,STR23-00050
760721591626470539,Cheerful home close to trails and downtown,81733702,Erin,,Bozeman,45.65812,-111.02008,Entire home/apt,146,30,0,,,1,350,0,
761901172736042288,Garden grotto with wood stove,159312,Ryan,,Bozeman,45.68817,-111.02836,Private room,200,2,24,2024-08-10,1.10,4,81,10,STR22-00071
761946989286762213,Airy & spacious top floor suite,159312,Ryan,,Bozeman,45.68703,-111.02994,Private room,275,2,5,2024-08-01,0.23,4,1,2,STR22-00071
777089140263640024,"Epic Downtown Locale & Home. Trails, views, more!",15495078,Josh,,Bozeman,45.6741525,-111.0305273,Entire home/apt,405,3,31,2024-08-18,1.54,1,268,18,STR23-00197
779190288821368126,King Bed | Lion’s Den | Walk to MSU,441896318,Payton,,Bozeman,45.66111,-111.06632,Entire home/apt,188,1,63,2024-09-02,3.00,11,321,44,STR23-00062
779228204397216929,King Bed | Country Music in the Big Sky,441896318,Payton,,Bozeman,45.66143,-111.06775,Entire home/apt,177,1,66,2024-08-26,3.35,11,333,42,STR23-00060
779228493719965346,Walk to MSU | Bridger + Big Sky | King Bed,441896318,Payton,,Bozeman,45.66099,-111.06775,Entire home/apt,194,1,60,2024-07-27,2.87,11,320,33,STR23-00105
779242618479987421,Yellowstone Country | Mountain Views | Walk to MSU,441896318,Payton,,Bozeman,45.66202,-111.06616,Entire home/apt,190,1,89,2024-08-21,4.25,11,315,52,STR23-00061
780455121479499585,Unique in town loft with great location !,9476037,Craig,,Bozeman,45.7006,-111.0868,Entire home/apt,209,3,12,2024-07-26,0.61,1,345,5,STR23-00035
781335823078353258,Peaceful 3BD in heart of Bozeman,326083751,Alison,,Bozeman,45.68787,-111.07463,Entire home/apt,150,28,31,2024-06-20,1.53,1,290,11,STR23-00009
787856733290016042,Peaceful cozy room in Bozeman!,54143486,Louise,,Bozeman,45.69054,-111.11556,Private room,82,1,60,2024-09-01,3.26,1,66,31,STR22-00108
791968903124153834,NEW | Game House | Near Downtown,456500579,McCade,,Bozeman,45.6784,-111.07892,Entire home/apt,285,1,64,2024-09-03,3.35,3,296,40,STR23-00073
791974702034213602,Heart of Bozeman | Juke Box Jet Away,456500579,McCade,,Bozeman,45.67707,-111.07812,Entire home/apt,287,1,46,2024-09-01,2.37,3,285,30,STR23-00057
792657961239735749,Downtown Duplex | Game Room | Mountain Music,456500579,McCade,,Bozeman,45.67871,-111.07805,Entire home/apt,1090,1,24,2024-08-04,1.32,3,277,16,STR23-00057
797809064791798577,"Pet Friendly, Downtown near MSU w/Mountain Views",78849013,Stay Montana,,Bozeman,45.67718,-111.08361,Entire home/apt,265,1,3,2024-05-28,0.19,12,335,1,STR20-00112
810105862930988714,Bridger View Condo,497406107,Jessi,,Bozeman,45.64859,-111.06908,Entire home/apt,219,2,7,2024-06-12,0.43,1,132,4,STR23-00108
810812829888263061,'Heart of Bozeman' Townhome w/ Patio Near MSU,122381278,Evolve,,Bozeman,45.68706592974194,-111.05529544508936,Entire home/apt,198,30,15,2023-12-29,0.82,12,305,4,
812293891329597358,Stylish SOBO Downtown Condo - Steps to Main St.,10719166,Ted And Ann Marie,,Bozeman,45.678108,-111.047012,Entire home/apt,227,2,12,2024-08-22,0.78,7,347,6,STR23-00174
