id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3314819,Basement: Mountainside Private Room & Private Bath,16296123,Allison & Peter,,28803,35.49233,-82.51495,Private room,47,1,1333,2024-06-03,10.95,3,42,134,
3369973,Nana's Place is minutes from everything!,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,248,2,262,2024-05-06,2.71,1,114,10,
3405282,The Cabin In Grove Park,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,80,30,24,2024-01-31,0.22,1,50,2,
3445336,Bungalow in Downtown Asheville,17363326,Michael,,28801,35.59183,-82.54626,Entire home/apt,150,30,0,,,2,365,0,
3445948,dwntwn/hrdwd/clay plaster/spacious/asheville,3079174,Molly,,28801,35.60432,-82.55011,Entire home/apt,520,2,66,2018-01-01,0.55,2,89,0,
3522532,Quiet Luxurious Studio-Guest House (Monthly),4846203,Zak & Iz,,28806,35.58012,-82.60522,Entire home/apt,52,30,189,2024-06-02,1.58,1,86,4,
3529241,"Walk to Downtown, Mid-Century Modern",17767321,JC & Jackson,,28801,35.6037,-82.56183,Entire home/apt,139,2,359,2024-06-16,2.99,1,9,31,
3563156,"Suite & Porch, Private Entrance And Bath",653292,Joann,,28806,35.57835,-82.60738,Private room,55,2,228,2024-06-09,1.90,1,310,27,
3590634,Cozy Cottage by a Little Mountain Stream and Pond,18089084,Patty,,28803,35.54697,-82.49353,Entire home/apt,128,2,370,2024-06-15,3.07,2,319,41,
3649639,Cheerful Home In Historic Downtown Asheville,18450336,Michele,,28801,35.6067,-82.56471,Entire home/apt,106,2,636,2024-06-05,5.28,2,255,51,
3868452,Peaceful Log Home with Long Range Views,19697970,Dan,,28806,35.61334,-82.59763,Entire home/apt,271,3,224,2024-06-11,1.94,1,288,22,
3868910,The Henhouse,19977236,Louisa,,28801,35.59082,-82.56643,Entire home/apt,124,2,362,2024-04-07,3.02,1,260,17,
3945733,Romantic Vintage Studio Near Downtown & UNCA!,20447538,April,,28801,35.61216,-82.55778,Entire home/apt,89,1,501,2024-03-31,4.24,2,179,13,
3968877,Fabulous Studio 7 min to downtown!,11584674,Callie,,28804,35.62764,-82.57335,Private room,,2,216,2023-11-19,1.82,1,343,4,
3986614,Cozy & Private Cottage- 2 miles N. of downtown,5656896,Michael,,28804,35.622231,-82.561401,Entire home/apt,70,1,482,2024-06-06,4.35,2,298,72,
3990524,Sweet private suite in W. Asheville,1676385,Pamella,,28806,35.58179,-82.58667,Private room,57,1,265,2024-06-12,2.22,2,318,19,
4108784,Everything Zen Asheville,3221035,Mark,,28804,35.62316,-82.60733,Entire home/apt,68,1,565,2024-06-18,4.78,1,135,68,
4124504,Forest Hill Bungalow,11006041,Shari,,28803,35.57522,-82.53793,Entire home/apt,99,2,300,2020-03-08,2.55,1,140,0,
4241484,Charming Cozy Home 5 mins to Biltmore & Parkway,352405,Molly Rose,,28803,35.54603,-82.51674,Entire home/apt,148,2,441,2024-06-17,3.80,3,173,75,
4285157,Nana's Nest,637074,Johanna,,28805,35.58668,-82.50199,Private room,54,30,34,2023-09-01,0.29,4,330,1,
4304358,Nana's nest 3,637074,Johanna,,28805,35.58668,-82.50199,Private room,58,30,53,2022-10-31,0.47,4,299,0,
4394670,Sweet Suite,22813406,Beth,,28804,35.63587,-82.53143,Entire home/apt,65,2,318,2024-06-18,2.70,1,107,16,
4394761,"Bohemian Retreat w/Deck, Fire Pit, Near Downtown!",20447538,April,,28801,35.61234,-82.55547,Entire home/apt,108,1,333,2024-05-13,2.96,2,187,23,
4448604,Private & Cozy Mini Suite - 2 miles N. of downtown,5656896,Michael,,28804,35.622231,-82.561401,Entire home/apt,41,1,603,2024-06-05,5.58,2,264,68,
4515772,Views of Downtown and Mountains,17363326,Michael,,28801,35.59156,-82.54536,Entire home/apt,200,30,80,2024-04-14,0.68,2,94,4,
4587394,Urbane Retreat Cabin In town Asheville 90 DAYS,16339042,Lori & Lizzie,,28805,35.58732,-82.49106,Entire home/apt,75,90,161,2024-04-08,1.39,1,292,2,
4764715,Cozy Private Fragrance Free Apt n W Avl 30 day min,3441402,Susan Elizabeth,,28806,35.57393,-82.57135,Entire home/apt,90,30,512,2023-10-29,4.44,2,65,6,
4831087,Nanna's Nook,637074,Johanna,,28805,35.58651,-82.50186,Entire home/apt,45,30,2,2016-12-19,0.02,4,65,0,
4846733,"Chalet at Winghaven, Sunny Log Home",24938934,Jofre & Saskia,,28732,35.44555,-82.46796,Entire home/apt,193,2,162,2024-06-02,1.45,2,292,7,
4895765,Beautiful Kenilworth Jewel,5035186,Lynn & Jake,,28803,35.57579,-82.53254,Entire home/apt,95,2,715,2024-06-16,6.26,1,287,51,
4994407,Amazing Asheville Location VIEWS!,25749896,Sydney,,28805,35.62457,-82.52246,Entire home/apt,264,3,307,2024-06-02,2.68,1,326,39,
5114762,Porch Time,21362898,Susan,,28806,35.58078,-82.5966,Entire home/apt,143,1,653,2024-06-16,5.73,1,11,47,
